ID,Food Name,Kcal,Protein,Carbohydrate,Fiber,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat
333476,"Fish, pollock, raw",56.0,12.3,0.0,0.0,0.41,0.128,0.073,0.182,0.016
334194,"Fish, tuna, light, canned in water, drained solids",90.0,19.0,0.08,0.0,0.94,0.224,0.114,0.259,0.002
334536,"Restaurant, Chinese, fried rice, without meat",174.0,3.84,32.5,0.0,3.19,0.493,0.588,1.13,0.009
334628,"Restaurant, Latino, tamale, pork",174.0,7.38,15.8,2.4,9.04,2.69,3.2,2.03,0.058
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,31.5,5.8,9.01,2.19,2.95,2.88,0.057
335240,"Bread, whole-wheat, commercially prepared",254.0,12.3,43.1,6.0,3.55,0.732,0.616,1.61,0.022
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0,27.7,0.0,0.0,6.36,2.47,2.26,0.472,0.359
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,22.8,0.0,0.0,6.39,2.56,2.71,0.364,0.306
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,23.4,0.0,0.0,2.48,0.953,0.951,0.192,0.129
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0,23.7,0.0,0.0,2.41,0.924,0.886,0.208,0.125
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,22.7,0.0,0.0,5.32,2.07,1.9,0.259,0.28
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,27.3,0.0,0.0,11.4,4.68,4.67,0.514,0.594
746764,"Carrots, frozen, unprepared",37.0,0.81,7.92,3.2,0.47,0.0,0.0,0.163,0.0
746765,"Cheese, dry white, queso seco",326.0,24.5,2.07,0.0,24.3,13.7,5.7,1.06,0.877
746766,"Cheese, ricotta, whole milk",157.0,7.81,6.86,0.0,11.0,6.97,2.56,0.389,0.351
746767,"Cheese, swiss",393.0,27.0,1.44,0.0,31.0,18.2,7.26,1.14,0.993
746768,"Figs, dried, uncooked",249.0,3.3,63.9,9.8,0.92,0.0,0.0,0.0,0.0
746769,"Lettuce, cos or romaine, raw",17.0,1.24,3.24,1.8,0.26,0.0,0.0,0.0,0.0
746770,"Melons, cantaloupe, raw",34.0,0.82,8.16,0.8,0.18,0.0,0.0,0.0,0.0
746771,"Oranges, raw, navels",47.0,0.91,11.8,2.0,0.15,0.0,0.0,0.0,0.0
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,3.38,5.18,0.0,0.95,0.568,0.21,0.032,0.036
746773,"Pears, raw, bartlett",57.0,0.38,15.1,3.1,0.16,0.0,0.0,0.0,0.0
746774,"Restaurant, Chinese, sweet and sour pork",260.0,8.88,25.5,1.0,13.6,2.68,3.49,7.05,0.087
746775,"Salt, table, iodized",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,3.43,4.92,0.0,0.08,0.049,0.017,0.006,0.0
746777,"Sauce, salsa, ready-to-serve",29.0,1.44,6.74,1.8,0.19,0.0,0.0,0.0,0.0
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,3.36,4.9,0.0,1.9,1.11,0.4,0.058,0.07
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,13.3,3.37,0.0,28.7,11.3,12.7,1.91,1.18
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",322.0,18.2,2.15,0.0,26.2,9.15,11.6,4.96,0.1
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,19.3,2.63,0.0,28.1,9.45,11.7,4.74,0.115
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,3.27,4.63,0.0,3.2,1.86,0.688,0.108,0.112
746783,"Sausage, turkey, breakfast links, mild, raw",169.0,16.7,0.93,0.0,10.4,2.53,3.07,3.15,0.104
746784,"Sugars, granulated",385.0,0.0,99.6,0.0,0.32,0.0,0.0,0.0,0.0
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,27.1,0.0,0.0,11.6,2.97,3.78,3.49,0.144
746952,"Ham, sliced, restaurant",121.0,19.6,2.36,0.0,3.68,1.25,1.6,0.675,0.017
747429,"Cheese, American, restaurant",375.0,17.5,6.35,0.0,31.1,17.7,6.62,1.23,1.01
747430,"Beans, Dry, Medium Red (0% moisture)",119.96,25.5,0.0,4.3,1.04,0.0,0.0,0.0,0.0
747431,"Beans, Dry, Red (0% moisture)",103.64,21.3,0.0,4.0,1.16,0.0,0.0,0.0,0.0
747432,"Beans, Dry, Flor de Mayo (0% moisture)",108.94,23.3,0.0,4.0,0.86,0.0,0.0,0.0,0.0
747433,"Beans, Dry, Brown (0% moisture)",120.68,25.6,0.0,4.1,1.12,0.0,0.0,0.0,0.0
